task,metric,model,n_seeds,no_pi_mean,oracle_mean,oracle_mu,oracle_reduction_percent,heldout_loo_mean,heldout_loo_reduction_percent,loo_selected_mu
consensus,final_dispersion,Qwen3-8B,10,2.02578125,1.18359375,-0.5,41.57346702661011,1.53203125,24.373312765136912,"-0.5, -0.25"
consensus,final_dispersion,Llama-3.1-8B,10,4.028125,2.35234375,-0.5,41.60201706749418,2.35234375,41.60201706749418,-0.5
consensus,final_dispersion,Ministral-3-8B,10,2.46015625,2.103125,0.5,14.512543664655444,2.4890625,-1.1749761829152257,"0.25, 0.5"
consensus,final_dispersion,Ministral-3-14B,10,1.91875,1.98203125,-0.5,-3.298045602605861,2.1296875,-10.993485342019556,"-0.75, -0.5"
consensus,final_dispersion,Phi-4-mini,10,4.71171875,3.89921875,4.5,17.244238103133807,5.6546875,-20.01326479854086,"-0.75, 0.25, 4.5"
diffusion,roughness_final,Qwen3-8B,10,41.62916666666666,29.566666666666663,-0.25,28.976078470623563,29.566666666666663,28.976078470623563,-0.25
diffusion,roughness_final,Llama-3.1-8B,10,35.50416666666666,45.87500000000001,-1.25,-29.21018659781719,51.225,-44.27884051167705,"-1.25, -0.25"
diffusion,roughness_final,Ministral-3-8B,10,167.2166666666667,41.22083333333334,0.5,75.34884879896342,41.22083333333333,75.34884879896342,0.5
diffusion,roughness_final,Ministral-3-14B,10,26.5625,30.8625,0.25,-16.18823529411765,33.233333333333334,-25.113725490196085,"-0.25, 0.25"
diffusion,roughness_final,Phi-4-mini,10,83.74583333333332,78.775,-0.5,5.935618687496872,78.775,5.935618687496872,-0.5
